2023-08-02 16:51:44.476 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2023-08-02 16:51:44.491 [main] INFO  c.c.c.CvteLogSystemSdkBackendApplication - Starting CvteLogSystemSdkBackendApplication using Java 17.0.7 with PID 48978 (/Users/liushenghao/IdeaProjects/Cvte_LogSystem_SDK_Backend/target/classes started by liushenghao in /Users/liushenghao/IdeaProjects/Cvte_LogSystem_SDK_Backend)
2023-08-02 16:51:44.492 [main] INFO  c.c.c.CvteLogSystemSdkBackendApplication - The following 1 profile is active: "test"
2023-08-02 16:51:44.745 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-08-02 16:51:44.745 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-08-02 16:51:44.750 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 MongoDB repository interfaces.
2023-08-02 16:51:44.756 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-08-02 16:51:44.756 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-08-02 16:51:44.761 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 1 ms. Found 0 Redis repository interfaces.
2023-08-02 16:51:44.803 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.cvte.cvte_logsystem_sdk_backend]' package. Please check your configuration.
2023-08-02 16:51:45.007 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9092 (http)
2023-08-02 16:51:45.011 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9092"]
2023-08-02 16:51:45.012 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
